ticker,volume,vwap,open,close,high,low,timestamp,trade_count,price_change,volatility,volume_surge,rsi,macd_line,macd_signal,macd_diff,adx,atr,buy_signal,mfi,ticker_encoded
CODX,441213.0,0.4604,0.456,0.4744,0.52,0.4326,1970-01-01 00:29:02.414400,514.0,0.040350877192982394,0.2020342117429497,2.5503671102509946,47.40139326105406,-8.57156884175092,-4.125807874718037,-4.445760967032884,4.709083567196361,43.891245504081304,0,0,0
TRX,538081.0,0.3231,0.33,0.3255,0.33,0.32,1970-01-01 00:29:02.414400,595.0,-0.013636363636363648,0.03125000000000003,1.6268796247976531,47.17999605352484,-8.896485353178296,-3.783913698098819,-5.112571655079477,4.309654015353864,44.342070123574146,1,0,0
AREB,10262645.0,0.2237,0.21,0.187,0.313,0.1718,1970-01-01 00:29:02.414400,13137.0,-0.1095238095238095,0.8218859138533178,2.213741348842613,47.527306118369644,1.5891812672674064,6.872554003867411,-5.283372736600005,5.419385209856673,77.43149355962865,1,0,0
GNS,2649197.0,0.3008,0.2701,0.305,0.3355,0.2614,1970-01-01 00:29:02.414400,2643.0,0.12921140318400587,0.2834736036725325,1.2035941947549547,47.567919271310274,-3.997850146790384,7.810061517323924,-11.807911664114307,5.098472986387251,84.98473153349208,0,0,0
MRSN,3479367.0,0.4471,0.4632,0.459,0.47,0.4321,1970-01-01 00:29:02.414400,6250.0,-0.009067357512953327,0.08771117796806292,3.4495798777555806,46.23400083873148,-0.13153100670167106,0.057631875752586124,-0.1891628824542572,4.508619185677679,33.10214588007382,1,0,0
VERU,1875506.0,0.5139,0.4817,0.5222,0.5279,0.4817,1970-01-01 00:29:02.414400,3395.0,0.08407722648951625,0.09591031762507789,1.9219270733740323,46.45513152336627,0.19591939983993,0.4130060996779814,-0.2170866998380514,4.707327986773691,34.57904502042064,0,0,0
TNYA,2254785.0,0.6647,0.68,0.6978,0.7,0.63,1970-01-01 00:29:02.414400,3873.0,0.026176470588235187,0.11111111111111104,2.847584992414977,46.40287774009852,-5.067460698396406,-1.9419482527147707,-3.125512445681635,4.24888163284926,27.64778034149403,0,0,0
UOKA,1947942.0,0.1649,0.16,0.17,0.17,0.1592,1970-01-01 00:29:02.414400,1402.0,0.06250000000000006,0.06783919597989951,1.3682748308184565,46.57828470098391,-5.348373324802406,-4.24162172856829,-1.1067515962341163,4.26236624154219,25.232349905423234,0,0,0
AGH,11031320.0,0.9128,0.6,0.805,0.849,0.5706,1970-01-01 00:29:02.414400,25252.0,0.3416666666666668,0.48790746582544686,3.920332734230332,47.526742966248584,7.374498509004162,15.851152565151315,-8.476654056147153,6.488275713574367,94.98433290591952,0,0,0
FOXO,17831015.0,0.1764,0.1639,0.156,0.1672,0.1502,1970-01-01 00:29:02.414400,17395.0,-0.048200122025625326,0.11318242343541936,3.159318200180583,46.10612039042457,-7.092985871768221,-2.97726666530089,-4.115719206467331,5.046123471240141,33.73690669852524,1,0,0
NAAS,596856.0,0.9094,0.91,0.9322,0.949,0.88,1970-01-01 00:29:02.414400,1670.0,0.02439560439560439,0.07840909090909086,3.3078616414942505,46.62121907070906,1.5143529625865426,2.213021185470075,-0.6986682228835326,7.089425314189104,39.040512646241,0,0,0
ZCAR,2061989.0,0.2644,0.2925,0.3069,0.3341,0.2865,1970-01-01 00:29:02.414400,3694.0,0.049230769230769314,0.1661431064572427,2.014905888149261,47.037282071449354,-8.408758111570343,-0.33796118775507433,-8.07079692381527,4.848328687393022,79.1693594505192,0,0,0
AGMH,61616864.0,0.07702,0.0674,0.072,0.072,0.0612,1970-01-01 00:29:02.414400,30453.0,0.06824925816023729,0.17647058823529407,4.833766757518702,47.647128986770305,12.256883393833817,-0.604750405489769,12.861633799323586,5.756785555179216,95.25208882875836,1,0,0
SGMO,8862131.0,0.8624,0.86,0.8694,0.9053,0.81,1970-01-01 00:29:02.414400,12395.0,0.010930232558139493,0.11765432098765424,4.2548320580868655,47.11870933123469,15.884357775337548,13.748412439338507,2.1359453359990415,6.672525399676866,102.58387006970906,1,0,0
DMN,1574051.0,0.1247,0.1176,0.1345,0.135,0.1167,1970-01-01 00:29:02.414400,1753.0,0.14370748299319738,0.15681233933161964,2.1908429628479036,46.14885654262185,3.4814705381141096,9.966412562942603,-6.484942024828493,8.486878594365937,57.32869192171472,0,0,0
ADAP,569040.0,0.4491,0.47,0.4491,0.47,0.442106,1970-01-01 00:29:02.414400,1403.0,-0.04446808510638293,0.06309346627279425,2.779305447153439,47.06235146181037,-1.8788051911242647,1.8918861156200255,-3.77069130674429,4.74142833312321,59.327246093376765,1,0,0
CDT,911979.0,0.9122,0.98,0.89,1.0,0.83,1970-01-01 00:29:02.414400,2150.0,-0.09183673469387751,0.20481927710843378,2.5044625497334008,47.16994807922641,-5.6093015733529015,-0.46855907144478803,-5.140742501908114,4.528536880106096,56.381686627313286,1,0,0
PCLA,192609.0,0.7808,0.734,0.817,0.8293,0.734,1970-01-01 00:29:02.414400,476.0,0.11307901907356943,0.12983651226158047,1.7298987257187817,46.729088255972925,-1.6549533963167704,-0.4973211531964111,-1.1576322431203594,4.417830507447693,50.255277824487614,0,0,0
ONDS,2230532.0,0.7477,0.73,0.7576,0.7658,0.721,1970-01-01 00:29:02.414400,5377.0,0.03780821917808229,0.062135922330097175,3.2100802990678305,46.014556441555555,-3.689685305706199,2.547891012296213,-6.237576318002412,5.2380929814112,46.08932992901128,0,0,0
URG,4579331.0,0.8357,0.8131,0.8455,0.8625,0.8035,1970-01-01 00:29:02.414400,9948.0,0.03984749723281267,0.07342874922215314,2.063349115604082,46.42495621019237,-0.46081879695539385,-3.7714043867637046,3.3105855898083107,5.407877519128368,43.24051195046286,1,0,0
LGHL,2201678.0,0.1066,0.1025,0.0949,0.1049,0.088,1970-01-01 00:29:02.414400,2262.0,-0.0741463414634146,0.19204545454545455,1.9818100478602412,46.61696623680312,-6.705181527707097,1.6458143541050365,-8.350995881812134,5.600130204207766,48.24057475334996,1,0,0
AIM,351212.0,0.1189,0.1205,0.1227,0.1227,0.115,1970-01-01 00:29:02.414400,599.0,0.018257261410788445,0.06695652173913041,1.312176823983023,47.67553205681212,-6.785650319467592,11.845838242977646,-18.631488562445238,5.7025231627923505,126.63368340398337,0,0,0
TWG,609721.0,0.1636,0.162,0.1653,0.1665,0.16,1970-01-01 00:29:02.414400,834.0,0.020370370370370355,0.040625000000000036,2.1343438650141384,47.43081858842506,2.8365766000690584,7.277152359148078,-4.440575759079019,5.841957457441758,64.46134845062934,0,0,0
